s. no,y_true,y_pred,Difference
76,16.4,11.31388062,5.086119381
65,17.1,12.35883608,4.741163921
11,8,4.543429057,3.456570943
70,12.3,9.037065108,3.262934892
91,13.7,10.48818902,3.21181098
19,12.2,9.224011393,2.975988607
49,15.5,12.57619003,2.923809972
44,7.8,4.950233651,2.849766349
16,13.4,10.75665785,2.643342151
9,10.1,7.523889247,2.576110753
36,8.1,5.656272918,2.443727082
50,10.5,8.185443002,2.314556998
81,13.7,11.40460945,2.295390551
38,9.6,7.359618732,2.240381268
68,15,12.9048791,2.095120901
45,8.1,6.053885296,2.046114704
74,8.5,6.484456336,2.015543664
93,11.1,9.113735525,1.986264475
6,10.9,8.91587387,1.98412613
32,15.2,13.23672489,1.96327511
43,9.7,7.776691622,1.923308378
8,11.5,9.585720054,1.914279946
84,8.5,6.589794318,1.910205682
26,11.3,9.433518001,1.866481999
64,12,10.30110472,1.698895278
61,13.8,12.14035073,1.659649271
18,7.6,5.955010013,1.644989987
66,9.2,7.63199856,1.56800144
94,12.4,10.87973687,1.520263125
31,11.1,9.601980633,1.498019367
33,8.3,6.861036886,1.438963114
51,8.8,7.364291686,1.435708314
63,14,12.59741558,1.402584417
10,12.6,11.1985766,1.401423401
29,9.7,8.333043344,1.366956656
23,11.2,9.842813545,1.357186455
13,14.8,13.4516112,1.348388802
57,10.8,9.459821985,1.340178015
17,9.2,7.888878804,1.311121196
58,11.3,10.07326993,1.226730065
3,10.6,9.424436634,1.175563366
39,10,8.840793727,1.159206273
34,8.2,7.045676183,1.154323817
80,10.9,9.757115709,1.142884291
59,9.9,8.757494717,1.142505283
37,12.6,11.46198607,1.13801393
41,14.3,13.16877547,1.13122453
20,11.2,10.0977971,1.1022029
25,11.3,10.25896132,1.04103868
21,12.4,11.37175182,1.02824818
62,13.8,12.77772347,1.022276533
88,11.5,10.48558742,1.014412578
54,10.6,9.600451686,0.999548314
2,13.2,12.21183322,0.988166781
52,10.3,9.348509864,0.951490136
92,12.7,11.77835225,0.921647746
40,10,9.080650083,0.919349917
28,8.7,7.87563774,0.82436226
89,11.9,11.10339317,0.796606825
27,11.4,10.61508845,0.784911547
53,12.5,11.78715784,0.712842162
67,10.6,9.905450924,0.694549076
69,12.7,12.00612705,0.69387295
14,10.7,10.01619478,0.683805219
71,9.1,8.443490575,0.656509425
12,11.9,11.24795367,0.652046328
24,12.6,11.98860735,0.611392646
7,8.9,8.312387057,0.587612943
85,13.7,13.11547411,0.584525894
47,13.4,12.83739451,0.562605494
72,12.2,11.64527158,0.55472842
79,11,10.48485579,0.515144214
75,10.3,9.811968781,0.488031219
77,13,12.52294616,0.47705384
60,9.2,8.72517869,0.47482131
15,9.8,9.390497264,0.409502736
42,13.6,13.29448259,0.305517407
48,13.8,13.52067116,0.279328844
90,13.4,13.12150607,0.278493929
86,14.2,13.92821972,0.271780279
5,9.1,8.82968253,0.27031747
46,12.9,12.63451858,0.265481422
55,11.8,11.53899536,0.261004637
0,12.2,12.0407495,0.159250501
22,10.7,10.54795042,0.152049581
83,14.5,14.36761257,0.132387429
73,9.3,9.175335092,0.124664908
78,10.5,10.38915754,0.110842461
35,11.7,11.60587924,0.094120758
56,12.2,12.13923047,0.060769525
87,13.7,13.64227418,0.057725822
82,9.5,9.460395139,0.039604861
1,11.3,11.27246951,0.027530494
4,10.6,10.57310902,0.026890979
30,12.7,12.67607913,0.023920869
,,,
,,2.193010503,1.000150384
